User ID,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8
user_0,1,5,1,5,2,2,1,5
user_1,1,5,2,1,4,1,1,5
user_2,1,4,1,4,5,2,1,5
user_3,2,5,2,5,2,1,2,1
user_5,2,4,2,4,4,2,4,4
user_6,2,5,3,3,3,2,3,3
user_4,2,5,1,4,4,1,1,3
user_7,2,4,5,2,4,4,2,2
user_8,2,5,1,5,2,1,4,3
user_9,3,5,5,3,2,3,3,5
user_10,1,5,2,5,5,1,2,4
user_11,2,4,3,5,4,3,3,2
user_12,1,5,1,5,3,1,1,2
user_13,1,5,1,5,5,1,1,3
user_14,3,4,4,2,2,3,4,2
